amount,tenure,score,group,target
560.94,,4.778,gamma,1028.06
292.0,11.1,71.859,gamma,1150.84
650.09,5.2,41.605,alpha,831.06
688.11,18.7,-4.905,alpha,472.81
109.79,1.4,98.222,alpha,848.33
239.56,14.1,63.843,gamma,1186.86
,2.3,82.86,gamma,1020.05
436.75,3.4,38.201,gamma,965.79
496.64,25.9,95.098,beta,788.04
329.39,6.1,11.948,gamma,511.04
675.88,6.8,10.365,gamma,1356.21
7575.902733247778,12.2,87.937,gamma,948.03
513.21,13.9,88.089,gamma,892.62
725.45,12.0,44.892,alpha,832.09
593.5,9.5,3.836,gamma,1313.63
328.14,0.1,23.574,gamma,1220.34
573.75,2.0,72.957,alpha,758.19
308.22,3.8,83.059,gamma,1291.14
675.69,21.7,28.242,beta,963.73
490.01,30.5,-3.264,alpha,847.36
463.03,7.8,63.23,gamma,926.6
,5.5,71.345,alpha,804.18
744.51,38.5,36.642,beta,669.78
469.09,8.5,,gamma,1194.03
414.33,14.8,98.611,alpha,944.82
,9.9,16.95,alpha,1154.3
606.46,5.4,53.028,gamma,1071.8
573.09,6.8,57.206,gamma,1137.14
582.55,12.4,50.402,beta,488.5
586.16,,85.604,beta,783.31
928.33,6.8,,gamma,1142.34
418.72,6.3,45.868,gamma,681.29
397.55,0.7,3.532,gamma,1093.27
337.25,1.5,67.353,alpha,652.32
623.2,0.1,4.532,beta,1004.11
725.79,1.6,-7.077,gamma,1402.5
477.21,17.9,43.738,alpha,1193.65
,15.7,52.969,beta,537.31
335.1,17.9,99.896,alpha,1212.09
630.12,0.4,68.356,gamma,1455.56
9735.996576253492,13.1,83.345,gamma,1699.25
5336.863955128936,,,alpha,1118.77
366.9,7.6,45.981,beta,658.9
546.43,25.9,97.17,alpha,1108.67
523.34,9.8,35.913,gamma,1399.01
543.74,1.5,78.802,alpha,953.23
674.29,5.9,47.859,beta,1260.78
,37.3,14.636,alpha,790.1
635.78,27.4,53.846,alpha,1093.09
513.52,18.6,13.987,gamma,377.61
557.82,1.6,-9.667,beta,762.42
626.26,2.0,15.949,alpha,998.47
208.57,1.2,11.246,gamma,909.16
436.07,1.7,30.801,alpha,674.85
405.93,0.1,87.746,beta,875.09
372.22,22.1,32.664,gamma,1082.41
444.97,14.3,82.971,gamma,978.44
798.99,18.6,51.117,alpha,1015.23
326.83,8.0,-9.162,alpha,1182.99
693.66,0.0,10.761,alpha,914.21
163.43,7.4,92.441,beta,1339.79
433.02,0.8,56.459,gamma,752.68
532.55,23.1,92.25,beta,1482.0
6314.875893290337,0.4,24.113,beta,1278.26
642.25,4.5,68.822,alpha,911.0
658.67,21.7,74.923,gamma,927.67
430.25,18.3,97.327,beta,1051.68
407.53,20.6,-8.001,beta,1149.67
671.6,12.0,94.746,alpha,1273.64
461.74,2.6,33.075,alpha,664.85
244.86,18.3,82.179,alpha,1109.36
273.34,23.7,49.918,beta,470.87
316.11,24.0,52.111,gamma,955.67
599.43,19.4,29.532,gamma,1363.48
528.49,12.8,81.132,beta,645.6
638.1,27.3,19.041,beta,600.19
414.55,19.0,44.147,beta,1055.2
531.71,0.8,51.619,gamma,1346.86
625.12,4.2,71.677,alpha,1081.35
438.13,5.1,41.88,beta,523.85
591.36,23.9,64.831,gamma,579.22
367.61,,43.382,beta,1024.44
427.39,0.6,62.525,beta,705.19
423.65,1.3,,gamma,1034.17
260.83,4.5,68.039,alpha,1049.0
597.39,3.0,80.563,alpha,877.56
406.12,2.1,49.479,gamma,1453.69
502.5,3.8,11.261,beta,1147.62
596.15,13.0,64.76,alpha,1302.9
589.31,14.7,-1.517,alpha,1230.15
,31.1,14.085,gamma,962.48
480.3,9.6,77.137,gamma,951.39
415.34,4.8,37.858,alpha,925.59
484.06,6.4,44.785,beta,1170.28
162.53,0.5,98.614,beta,837.41
210.58,4.7,15.869,alpha,1431.26
235.46,2.6,,alpha,813.53
300.55,1.6,2.251,alpha,1053.62
579.95,5.7,16.895,gamma,942.73
318.9,1.7,69.851,gamma,887.3
424.37,0.8,75.34,gamma,1543.09
759.85,11.3,52.204,alpha,890.24
428.75,17.3,18.055,gamma,923.82
647.5,6.9,47.392,alpha,833.97
8201.936896318886,0.1,-8.355,gamma,1010.26
458.91,,64.998,alpha,974.67
310.0,0.6,57.573,alpha,720.19
432.19,13.0,-7.602,beta,893.91
668.06,23.7,79.871,gamma,1152.42
,10.0,73.977,alpha,1256.75
5020.481847639433,3.1,23.905,beta,1006.0
547.55,30.9,59.891,gamma,1014.75
381.17,12.8,,beta,909.75
210.79,,5.75,gamma,874.39
514.43,2.5,11.259,beta,770.11
394.1,15.2,65.153,alpha,610.84
546.54,2.6,92.691,alpha,824.39
504.37,,,beta,1226.01
820.36,5.5,52.459,alpha,893.9
452.13,4.0,61.135,alpha,913.5
295.3,1.5,38.464,gamma,908.63
535.86,14.0,-4.041,alpha,1311.18
