amount,tenure,score,group,target,outlier
560.94,7.7,4.778,gamma,1028.06,0
292.0,11.1,71.859,gamma,1150.84,0
650.09,5.2,41.605,alpha,831.06,0
688.11,18.7,-4.905,alpha,472.81,0
109.79,1.4,98.222,alpha,848.33,1
239.56,14.1,63.843,gamma,1186.86,0
492.29,2.3,82.86,gamma,1020.05,0
436.75,3.4,38.201,gamma,965.79,0
496.64,25.9,95.098,beta,788.04,0
329.39,6.1,11.948,gamma,511.04,0
675.88,6.8,10.365,gamma,1356.21,0
7575.902733247778,12.2,87.937,gamma,948.03,1
513.21,13.9,88.089,gamma,892.62,0
725.45,12.0,44.892,alpha,832.09,0
593.5,9.5,3.836,gamma,1313.63,0
328.14,0.1,23.574,gamma,1220.34,0
573.75,2.0,72.957,alpha,758.19,0
308.22,3.8,83.059,gamma,1291.14,0
675.69,21.7,28.242,beta,963.73,0
490.01,30.5,-3.264,alpha,847.36,1
463.03,7.8,63.23,gamma,926.6,0
515.645,5.5,71.345,alpha,804.18,0
744.51,38.5,36.642,beta,669.78,1
469.09,8.5,44.434,gamma,1194.03,0
414.33,14.8,98.611,alpha,944.82,0
515.645,9.9,16.95,alpha,1154.3,0
606.46,5.4,53.028,gamma,1071.8,0
573.09,6.8,57.206,gamma,1137.14,0
582.55,12.4,50.402,beta,488.5,0
586.16,8.4,85.604,beta,783.31,0
928.33,6.8,44.434,gamma,1142.34,0
418.72,6.3,45.868,gamma,681.29,0
397.55,0.7,3.532,gamma,1093.27,0
337.25,1.5,67.353,alpha,652.32,0
623.2,0.1,4.532,beta,1004.11,0
725.79,1.6,-7.077,gamma,1402.5,0
477.21,17.9,43.738,alpha,1193.65,0
501.44,15.7,52.969,beta,537.31,0
335.1,17.9,99.896,alpha,1212.09,1
630.12,0.4,68.356,gamma,1455.56,0
9735.996576253492,13.1,83.345,gamma,1699.25,1
5336.863955128936,8.2,50.267,alpha,1118.77,1
366.9,7.6,45.981,beta,658.9,0
546.43,25.9,97.17,alpha,1108.67,0
523.34,9.8,35.913,gamma,1399.01,0
543.74,1.5,78.802,alpha,953.23,0
674.29,5.9,47.859,beta,1260.78,0
515.645,37.3,14.636,alpha,790.1,1
635.78,27.4,53.846,alpha,1093.09,0
513.52,18.6,13.987,gamma,377.61,0
557.82,1.6,-9.667,beta,762.42,1
626.26,2.0,15.949,alpha,998.47,0
208.57,1.2,11.246,gamma,909.16,0
436.07,1.7,30.801,alpha,674.85,0
405.93,0.1,87.746,beta,875.09,0
372.22,22.1,32.664,gamma,1082.41,0
444.97,14.3,82.971,gamma,978.44,0
798.99,18.6,51.117,alpha,1015.23,0
326.83,8.0,-9.162,alpha,1182.99,1
693.66,0.0,10.761,alpha,914.21,0
163.43,7.4,92.441,beta,1339.79,0
433.02,0.8,56.459,gamma,752.68,0
532.55,23.1,92.25,beta,1482.0,0
6314.875893290337,0.4,24.113,beta,1278.26,1
642.25,4.5,68.822,alpha,911.0,0
658.67,21.7,74.923,gamma,927.67,0
430.25,18.3,97.327,beta,1051.68,0
407.53,20.6,-8.001,beta,1149.67,1
671.6,12.0,94.746,alpha,1273.64,0
461.74,2.6,33.075,alpha,664.85,0
244.86,18.3,82.179,alpha,1109.36,0
273.34,23.7,49.918,beta,470.87,0
316.11,24.0,52.111,gamma,955.67,0
599.43,19.4,29.532,gamma,1363.48,0
528.49,12.8,81.132,beta,645.6,0
638.1,27.3,19.041,beta,600.19,0
414.55,19.0,44.147,beta,1055.2,0
531.71,0.8,51.619,gamma,1346.86,0
625.12,4.2,71.677,alpha,1081.35,0
438.13,5.1,41.88,beta,523.85,0
591.36,23.9,64.831,gamma,579.22,0
367.61,8.4,43.382,beta,1024.44,0
427.39,0.6,62.525,beta,705.19,0
423.65,1.3,44.434,gamma,1034.17,0
260.83,4.5,68.039,alpha,1049.0,0
597.39,3.0,80.563,alpha,877.56,0
406.12,2.1,49.479,gamma,1453.69,0
502.5,3.8,11.261,beta,1147.62,0
596.15,13.0,64.76,alpha,1302.9,0
589.31,14.7,-1.517,alpha,1230.15,0
492.29,31.1,14.085,gamma,962.48,0
480.3,9.6,77.137,gamma,951.39,0
415.34,4.8,37.858,alpha,925.59,0
484.06,6.4,44.785,beta,1170.28,0
162.53,0.5,98.614,beta,837.41,1
210.58,4.7,15.869,alpha,1431.26,0
235.46,2.6,50.267,alpha,813.53,0
300.55,1.6,2.251,alpha,1053.62,0
579.95,5.7,16.895,gamma,942.73,0
318.9,1.7,69.851,gamma,887.3,0
424.37,0.8,75.34,gamma,1543.09,0
759.85,11.3,52.204,alpha,890.24,0
428.75,17.3,18.055,gamma,923.82,0
647.5,6.9,47.392,alpha,833.97,0
8201.936896318886,0.1,-8.355,gamma,1010.26,1
458.91,8.2,64.998,alpha,974.67,0
310.0,0.6,57.573,alpha,720.19,0
432.19,13.0,-7.602,beta,893.91,0
668.06,23.7,79.871,gamma,1152.42,0
515.645,10.0,73.977,alpha,1256.75,0
5020.481847639433,3.1,23.905,beta,1006.0,1
547.55,30.9,59.891,gamma,1014.75,0
381.17,12.8,43.3885,beta,909.75,0
210.79,7.7,5.75,gamma,874.39,0
514.43,2.5,11.259,beta,770.11,0
394.1,15.2,65.153,alpha,610.84,0
546.54,2.6,92.691,alpha,824.39,0
504.37,8.4,43.3885,beta,1226.01,0
820.36,5.5,52.459,alpha,893.9,0
452.13,4.0,61.135,alpha,913.5,0
295.3,1.5,38.464,gamma,908.63,0
535.86,14.0,-4.041,alpha,1311.18,0
544.0,11.4,33.615,alpha,767.9,0
771.84,24.3,89.028,beta,1069.26,1
667.02,3.2,78.544,beta,982.88,0
9603.16664480692,0.5,92.017,alpha,1016.98,1
792.66,27.4,6.811,alpha,1061.09,1
262.25,11.0,45.655,gamma,1014.29,0
372.05,0.0,54.32,beta,1198.26,0
314.68,8.4,13.092,beta,992.69,0
